台湾频道,#genre#
中天新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv009
TVBS新闻台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv072
东森新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv152
民视新闻台,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv13
镜新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv075
非凡新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv010
台视新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv051
华视新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv052
中视新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv074
寰宇新闻台,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn14
寰宇新闻台湾台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv156
半岛新闻,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv10
美国之音,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv03
东森财经新闻,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv153
非凡商业台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv048
台视财经,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv056
第1商业台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv104
TVBS,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv073
台视,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv066
中视,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv040
华视,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv041
民视,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv002
民视,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv155
民视台湾台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv001
民视第一台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv003
中天亚洲台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv109
靖天综合台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv046
靖天国际台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv063
靖天资讯台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv065
客家电视台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv043
阿里郎,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv079
国会频道1,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv084
国会频道2,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv085
TVBS欢乐台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv068
TVBS精采台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv067
爱尔达娱乐,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv070
民视综艺台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv004
八大综艺台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv039
八大精彩台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv034
靖天欢乐台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv054
靖天育乐台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv062
中视菁采台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv064
猪哥亮歌厅秀,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv006
影迷數位電影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv011
amc电影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv017
靖天电影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv061
靖天映画,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv055
采昌影剧台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv049
民视影剧,http://tv543.cc/litv.php?token=leifeng&id=litv-ftv09
龙华电影,http://tv543.cc/litv.php?token=leifeng&id=litv-longturn03
